Entity,Code,Year,Fossil fuels (TWh)
Poland,POL,1997,11.461.967
Portugal,PRT,1997,21.208.316
Qatar,QAT,1997,12.536.838
Romania,ROU,1997,45.619.366
Russia,RUS,1997,6.237.438
Saudi Arabia,SAU,1997,1.190.249
Singapore,SGP,1997,41.201.855
Slovakia,SVK,1997,16.388.437
Slovenia,SVN,1997,56.550.663
South Africa,ZAF,1997,11.230.046
South Korea,KOR,1997,19.038.093
Spain,ESP,1997,10.697.953
Sri Lanka,LKA,1997,3.404.012
Sweden,SWE,1997,24.428.334
Switzerland,CHE,1997,18.091.618
Taiwan,TWN,1997,7.439.573
Thailand,THA,1997,7.107.615
Trinidad and Tobago,TTO,1997,10.071.772
Turkey,TUR,1997,6.918.747
Ukraine,UKR,1997,14.083.525
United Arab Emirates,ARE,1997,5.214.564
United Kingdom,GBR,1997,23.298.015
United States,USA,1997,22.175.863
Uzbekistan,UZB,1997,50.190.332
Venezuela,VEN,1997,5.800.147
Vietnam,VNM,1997,13.344.868
World,OWID_WRL,1997,89980.32
Algeria,DZA,1998,30.771.323
Argentina,ARG,1998,58.821.924
Australia,AUS,1998,11.960.067
Austria,AUT,1998,265.214
Azerbaijan,AZE,1998,12.087.608
Bangladesh,BGD,1998,12.300.139
Belarus,BLR,1998,25.426.794
Belgium,BEL,1998,6.020.638
Brazil,BRA,1998,12.401.073
Bulgaria,BGR,1998,18.899.002
Canada,CAN,1998,22.312.102
Chile,CHL,1998,23.064.337
China,CHN,1998,10.363.471
Colombia,COL,1998,25.465.518
Croatia,HRV,1998,80.897.385
Cyprus,CYP,1998,27.446.606
Czechia,CZE,1998,42.446.793
Denmark,DNK,1998,24.182.932
Ecuador,ECU,1998,1.016.056
Egypt,EGY,1998,4.645.144
Estonia,EST,1998,58.292.824
Finland,FIN,1998,22.786.586
France,FRA,1998,17.189.286
Germany,DEU,1998,34.818.794
Greece,GRC,1998,3.435.748
Hong Kong,HKG,1998,18.623.376
Hungary,HUN,1998,24.919.087
Iceland,ISL,1998,10.112.937
India,IND,1998,31.625.952
Indonesia,IDN,1998,95.559.766
Iran,IRN,1998,12.133.647
Iraq,IRQ,1998,29.388.394
Ireland,IRL,1998,15.352.313
Israel,ISR,1998,23.272.064
Italy,ITA,1998,18.774.658
Japan,JPN,1998,48.376.206
Kazakhstan,KAZ,1998,41.459.326
Kuwait,KWT,1998,1.909.837
Latvia,LVA,1998,32.693.733
Lithuania,LTU,1998,6.646.477
Luxembourg,LUX,1998,32.560.677
Malaysia,MYS,1998,48.226.187
Mexico,MEX,1998,14.250.452
Morocco,MAR,1998,10.895.712
Netherlands,NLD,1998,9.878.223
New Zealand,NZL,1998,13.368.437
North Macedonia,MKD,1998,3.072.157
Norway,NOR,1998,16.727.141
Oman,OMN,1998,71.647.125
Pakistan,PAK,1998,38.144.623
Peru,PER,1998,9.893.705
Philippines,PHL,1998,25.574.445
Poland,POL,1998,10.966.576
Portugal,PRT,1998,23.542.966
Qatar,QAT,1998,13.498.816
Romania,ROU,1998,40.792.636
Russia,RUS,1998,6.234.794
Saudi Arabia,SAU,1998,12.525.769
Singapore,SGP,1998,41.772.717
Slovakia,SVK,1998,16.457.278
Slovenia,SVN,1998,557.128
